Test #,Area,Scenario,Primary Role,Secondary Role,URL (full),Expected UI Message(s),Expected WhatsApp/Notification (if applicable),Photo/GPS Check,Status (PASS/FAIL),Actual UI Message(s),Notification Received (YES/NO),Notification Snippet,Photo Watermark OK (YES/NO),Notes,Screenshot/Link
Test 1,Authentication,Login smoke test (each role),GA Supervisor,GA Staff / Cleaner,https://sigap.suryagroup.app/login,"Login successful, redirected to dashboard",N/A,N/A,,,,,,,
Test 2,Authorization,Unauthorized access (negative),Regular User,,https://sigap.suryagroup.app/facility,403 | This action is unauthorized.,N/A,N/A,,,,,,,
Test 3,Navigation,Facility pages load,GA Supervisor,,"https://sigap.suryagroup.app/facility, /facility/schedules, /facility/tasks, /facility/approvals, /facility/requests",All pages load successfully,N/A,N/A,,,,,,,
Test 4,Schedules,Create daily cleaning schedule,GA Supervisor,,https://sigap.suryagroup.app/facility/schedules/create,Cleaning schedule created successfully.,N/A,N/A,,,,,,,
Test 5,Schedules,Create weekly cleaning schedule,GA Supervisor,,https://sigap.suryagroup.app/facility/schedules/create,Cleaning schedule created successfully.,N/A,N/A,,,,,,,
Test 6,Schedules,Create schedule with validation errors (negative),GA Supervisor,,https://sigap.suryagroup.app/facility/schedules/create,The items field must have at least 1 items.,N/A,N/A,,,,,,,
Test 7,Schedules,View schedule details,GA Staff,,https://sigap.suryagroup.app/facility/schedules/{id},"Schedule details displayed with items, alerts, recent tasks",N/A,N/A,,,,,,,
Test 8,Schedules,Edit existing schedule,GA Supervisor,,https://sigap.suryagroup.app/facility/schedules/{id}/edit,"Cleaning schedule updated successfully. Note: Changes only affect new tasks generated after midnight.",N/A,N/A,,,,,,,
Test 9,Schedules,Delete cleaning schedule,GA Supervisor,,https://sigap.suryagroup.app/facility/schedules/{id}/edit,Cleaning schedule deleted successfully.,N/A,N/A,,,,,,,
Test 10,Tasks,View daily tasks list,GA Staff,,https://sigap.suryagroup.app/facility/tasks,"Tasks displayed with filters working (date, location, status)",N/A,N/A,,,,,,,
Test 11,Tasks,View task details,GA Staff,,https://sigap.suryagroup.app/facility/tasks/{id},"Task details displayed: task number, location, assigned cleaner, status, submission",N/A,N/A,,,,,,,
Test 12,Task Assignment,Bulk reassign tasks,GA Supervisor,,https://sigap.suryagroup.app/facility/tasks (Bulk Reassign),Successfully reassigned {N} task(s).,N/A,N/A,,,,,,,
Test 13,Task Assignment,Bulk reassign with validation error (negative),GA Supervisor,,https://sigap.suryagroup.app/facility/tasks (Bulk Reassign),The to user id field and from user id must be different.,N/A,N/A,,,,,,,
Test 14,Task Execution,Cleaner views My Tasks,Cleaner,,https://sigap.suryagroup.app/facility/tasks/my-tasks,"My tasks displayed, grouped by status",N/A,N/A,,,,,,,
